Track ID,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
4Yxc55NX3tAXC2mHRAhtcW,0.376,0.43,0.0328,0.0902,0,0.0912,0.129
3eekarcy7kvN4yt5ZFzltW,0.598,0.427,0.0317,0.0546,5.83E-06,0.21,0.0605
0zyHqmRo3xthdkEZR149or,0.384,0.886,0.102,0.00236,0,0.163,0.536
7qZdLKPA5TXDxpd10AGpf0,0.477,0.951,0.0558,0.0087,0,0.121,0.754
1iD0a0plhO55cWEJa5UGcZ,0.719,0.815,0.0305,0.16,0,0.0367,0.937
63IIUzd6eJBfCGIcF8MFnJ,0.357,0.959,0.113,6.93E-06,3.91E-05,0.0825,0.364
27O9FuS1UIm6ZyLplgLQAH,0.296,0.9,0.0922,0.000702,0,0.339,0.286
44BrW9G0DSu50xItRb1gFK,0.615,0.907,0.0552,0.00818,2.67E-05,0.145,0.716
4wzjNqjKAKDU82e8uMhzmr,0.545,0.932,0.0399,0.000665,0,0.127,0.465
5jZ1Z2GFTf2gwmFc3qiUxs,0.541,0.904,0.0435,0.00143,0,0.193,0.541
0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,0.126,0.00666,0,0.139,0.893
3iwsyTZzOWHZbHffBEyi1N,0.524,0.967,0.0392,0.000289,7.41E-06,0.324,0.731
6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,0.0526,0.0371,0,0.058,0.903
07oVZP9Er2Fz8S59ePWLyK,0.522,0.881,0.0847,0.00303,0.000147,0.0939,0.369
2ydUT1pFhuLDnouelIv4WH,0.41,0.959,0.0869,0.000324,0,0.0766,0.83
6HV8ufhj3yJZjM29wxBxrB,0.421,0.745,0.0639,0.000749,0,0.0975,0.585
6xyiHZgrmXw7sMyYXbXjPV,0.435,0.95,0.106,0.000494,0,0.317,0.457
3Vi93V7o1tT28Cut4gSWi3,0.554,0.864,0.0394,0.00605,0,0.132,0.299
3B9W8NK6FiaNZCZFIzLdwo,0.566,0.832,0.0603,0.00505,0,0.127,0.86
3VGjUGJ5H3N61ggpyORS0n,0.378,0.851,0.0375,0.000336,0,0.495,0.41
0iWZd4aBNd3vNUF6crMiOp,0.478,0.963,0.0643,0.00298,0,0.165,0.899
429IbFR4yp2J81CeTwF5iY,0.487,0.898,0.038,0.00305,0,0.26,0.597
7G3NwzBfymA9vvtWEKpSFq,0.352,0.955,0.0667,0.00109,7.54E-05,0.424,0.423
6fx1fKIs5e0pBL5FpdC7RB,0.553,0.837,0.0452,0.00941,0,0.372,0.432
4EjeB71VqwTMdlFbwD3xTP,0.434,0.904,0.045,0.00172,0.000457,0.148,0.673
6vFD3c1WI1zuKoyk22dMw3,0.686,0.84,0.159,0.0601,5.38E-06,0.164,0.704
2l57cfmCnOkwNX1tky02n1,0.518,0.916,0.0454,0.000148,0,0.291,0.646
6WO21QtEl9GbQDx7vrpzWL,0.4,0.979,0.151,0.000205,1.16E-05,0.16,0.617
0ChpoNjXfJPjMvCIN6so6J,0.449,0.864,0.0352,2.04E-05,0,0.108,0.713
30Df6lLrwfK4XcttjwNkS1,0.487,0.958,0.117,0.00312,0,0.181,0.512
2DGFNAg4pTPLFKPeQRbGDZ,0.258,0.735,0.0459,2.03E-05,0,0.112,0.132
2gxfUzq0kLUwdHIo87aHIC,0.587,0.619,0.032,0.0392,0,0.0867,0.627
6TclVCUxDQm9s3Bey6Ao8H,0.546,0.882,0.0394,0.000784,0,0.186,0.64
3nviljxwgZPAb3VLgDPM3F,0.261,0.992,0.144,0.000937,0,0.039,0.533
0DxN6Ywom8nnndyQXdSBPy,0.382,0.932,0.0716,3.50E-05,0,0.243,0.57
3VpXumpFsHTUAA4x29yVu7,0.446,0.922,0.0518,2.78E-05,0.00332,0.107,0.54
2INPZO3P759ZWNgRSmPBUS,0.62,0.872,0.0456,0.00138,2.76E-05,0.272,0.695
7lXU7lSkeFTrHSPn9iKjJ9,0.524,0.945,0.0438,0.000502,0,0.0722,0.695
1fJFuvU2ldmeAm5nFIHcPP,0.579,0.928,0.0411,0.000715,0,0.18,0.882
6xyiHZgrmXw7sMyYXbXjPV,0.435,0.95,0.106,0.000494,0,0.317,0.457
0IfsEsGEawT5srezsszZeW,0.566,0.918,0.0526,0.00178,0,0.0922,0.585
4HAWq1kBDMLSNq5UHWD7rH,0.54,0.912,0.0855,0.00315,0,0.124,0.828
34NC4w6FjY53pkMf130Kmf,0.248,0.985,0.27,7.55E-05,3.09E-06,0.589,0.272
2m1hi0nfMR9vdGC8UcrnwU,0.434,0.897,0.0488,0.0103,0,0.612,0.684
1KNvOn6Eylit6zH0befCyn,0.371,0.98,0.0842,7.53E-05,3.57E-05,0.672,0.534
3kaK1EohdhDXT5ICBMRGkz,0.55,0.908,0.0345,0.00578,0.000257,0.0904,0.539
5pZXriIfUJ5G0MiuoIkiww,0.382,0.82,0.109,0.023,0,0.115,0.473
3JOdLCIBzQYwHIvpN3isVf,0.628,0.886,0.0608,0.000706,0,0.275,0.72
1Up4RdOBpChNDytatxKDXP,0.533,0.802,0.0384,0.001,0,0.314,0.293
7N2DblLu8DuZ0seGYSg73v,0.661,0.874,0.0456,0.0168,0,0.41,0.682