Track ID,Tracks,Artists,Albums,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3bYLRndI3qoLQqgPalT8CY,Grapevine,Tiësto,Grapevine,0.714,0.828,3,-4.663,1,0.0598,0.00514,0.154,0.32,0.208,124.034
089tprIgsyFSOrZpugamLI,Blame,Ekali,Blame,0.624,0.68,9,-7.285,0,0.0421,0.114,6.78e-05,0.0614,0.117,91.998
77BDJDKKWm11KXQh0Sv4Jf,Dare Me,NERVO,Dare Me,0.817,0.776,6,-4.976,1,0.303,0.0453,0.0,0.158,0.718,124.03
4c6PicLrAOwfkA7yEMwmI5,Awaken - Edit,Cosmic Gate,Awaken,0.618,0.74,8,-7.159,0,0.0375,0.343,0.00583,0.436,0.251,127.988
5GhUo54Y3EyfthHdz3cTkq,Coming On Strong - Edit,Gabriel & Dresden,Coming On Strong,0.645,0.788,1,-5.322,1,0.0348,0.00194,0.0252,0.0657,0.249,128.023
5ACwo10wriynSukEbWfclv,There Will Be Angels,Ben Gold,Sound Advice (Chapter One),0.511,0.928,1,-5.787,1,0.0648,0.00556,0.0,0.0605,0.195,133.902
69JVxHk5lLPAHdVulVTPi5,Let It Be Me,Steve Aoki,Let It Be Me,0.661,0.758,7,-5.299,1,0.0864,0.0797,0.0,0.106,0.387,114.098
6m8SIT10j41SPpPFOknTmP,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],0.563,0.81,2,-2.921,1,0.0522,0.00522,0.0,0.0846,0.495,129.975
5PjJaR0zdOjFtYuCkmH2WX,I Am You,Ferry Corsten,I Am You,0.545,0.974,11,-5.998,0,0.0359,0.000134,0.826,0.19,0.461,127.999
7m7wUp1RfcwQHHLl8DGcUS,Sirin,Estiva,Metamorphoses,0.628,0.964,8,-5.929,1,0.129,0.0756,0.861,0.442,0.0231,124.996
4y78bEIRTzNe2RbGAnX8zU,My Life,ZHU,RINGOS DESERT,0.755,0.557,0,-7.985,0,0.0373,0.257,0.0524,0.103,0.21,109.983
6iC7vapdKp0XlKhxOkp8QJ,BOOM,Tiësto,BOOM,0.886,0.84,2,-3.386,1,0.0502,0.0164,0.00622,0.329,0.203,123.035
0goj2jVaUvxQP2zsyt7Xol,Don't Call Me Up - R3HAB Remix,Mabel,Don't Call Me Up (Remixes),0.752,0.812,6,-4.41,0,0.183,0.287,2.45e-05,0.0897,0.58,108.05
1OSCfGPskfxarroklhA9LU,Nothing But You (feat. Hemstock & Jennings),Paul van Dyk,Reflections,0.533,0.932,8,-6.845,1,0.0368,0.000204,0.883,0.251,0.0554,139.371
0ozjY1Su7jqd7AGVywwpfw,Astro (ASOT 935),Jean Clemence,ASOT 935 - A State Of Trance Episode 935,0.498,0.962,1,-9.539,1,0.104,5.94e-05,0.883,0.205,0.0675,138.03
1pltbjQmEo91Sosisz69LN,Love You More - Andrew Bayer & Genix In My Next Life Mix,Andrew Bayer,In My Next Life,0.599,0.893,10,-6.661,1,0.0578,0.00453,0.524,0.26,0.246,127.008
1bB9MnstJVnAqQSZxh1voj,Need To Feel Loved (Mixed),Cosmic Gate,A State Of Trance Year Mix 2019 (Mixed by Armin van Buuren),0.478,0.908,7,-9.038,1,0.0662,3.44e-05,0.00945,0.336,0.831,130.023
3cH2reyyuhl69KIHuuUKhv,Are You Lonely,Steve Aoki,Are You Lonely,0.517,0.793,6,-5.851,0,0.0367,0.0214,0.00046,0.0892,0.176,90.06
1zClfAHEZOLRI7PWg0JZMk,You - Myon & Elevven Remix,Gabriel & Dresden,You (Myon & Elevven Remix),0.663,0.782,7,-5.619,1,0.0499,0.00292,0.323,0.941,0.0906,128.005
3qPXWPkEZgUhUgPifbE99z,WOW,Tiësto,WOW,0.6,0.99,6,-3.016,1,0.337,0.00116,0.52,0.124,0.192,127.954
2GQEM9JuHu30sGFvRYeCxz,Faded,ZHU,THE NIGHTDAY,0.867,0.477,9,-7.183,0,0.049,0.00843,0.175,0.113,0.614,124.979
5ZIrNbf3T3Qy6lCU2qRDZu,Let Go (feat. Rea Garvey) - single edit,Paul van Dyk,Let Go,0.583,0.819,0,-5.741,1,0.0287,0.0082,0.0433,0.0863,0.929,135.022
36UjTTrSwaAqLkAlf2Ooc4,Soldier Like Me,2Pac,Loyal To The Game,0.748,0.614,11,-6.004,0,0.407,0.0672,7.81e-05,0.106,0.57,172.03
5MYFw4T2gy52pOGBN4EYHS,Stay Fly - Explicit Album Version,Three 6 Mafia,Most Known Unknown (Explicit),0.789,0.881,11,-5.758,1,0.0331,0.108,0.0,0.355,0.647,133.301
503OTo2dSqe7qk76rgsbep,Still D.R.E.,Dr. Dre,2001,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431
6vBMMa2erexusV4XrgXea9,Lil' Homies,2Pac,Until The End Of Time,0.897,0.815,10,-4.227,0,0.212,0.159,0.0,0.0637,0.804,97.6
2xTft6GEZeTyWNpdX94rkf,All Eyez On Me,2Pac,All Eyez On Me,0.873,0.719,1,-5.948,1,0.248,0.03,0.0,0.333,0.858,93.281
0Ed7MeXx64f6OcIuoTRCg1,Xxplosive,Dr. Dre,2001,0.765,0.88,1,-4.361,1,0.116,0.176,1e-05,0.139,0.929,168.96
5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,The Notorious B.I.G.,Ready to Die (The Remaster),0.889,0.816,9,-4.67,1,0.247,0.472,0.0,0.204,0.777,96.056
6rB9te7FuWMxFYKEWccFAQ,"Options (feat. PnB Rock, Gucci Mane & 2 Chainz)",Fabolous,Summertime Shootout 3: Coldest Summer Ever,0.674,0.563,1,-7.404,0,0.218,0.203,0.0,0.239,0.679,161.986
0KbIwqCAHmXWu7hrszXY6j,Party We Will Throw Now!,Warren G,Party We Will Throw Now! - Single,0.934,0.562,4,-4.609,0,0.24,0.0476,1.31e-06,0.0608,0.712,96.792
0lOe1dR2TNkJMCjIcRuw6T,Westside Story,The Game,The Documentary,0.876,0.647,11,-3.917,1,0.28,0.16,0.0,0.238,0.961,86.993
2nH5V9DKUQQvZQk1vgAGPT,Stay Down,The Game,Born 2 Rap,0.594,0.383,0,-7.045,0,0.223,0.22,1.73e-05,0.0891,0.463,176.197
5880eYQmXx3c3oD22IljIt,Why We Thugs,Ice Cube,"Laugh Now, Cry Later",0.683,0.59,1,-5.423,1,0.458,0.326,0.0,0.148,0.653,100.892
0RmaKedniCyNZX0405E2KY,Home Sweet Home,Mötley Crüe,The Greatest Hits,0.401,0.737,5,-7.684,1,0.0342,0.0844,2.63e-06,0.173,0.152,76.727
2P884dqfjksDMSzUZksfrS,Hells Bells,AC/DC,Who Made Who,0.383,0.887,4,-4.734,0,0.0468,0.00562,0.00779,0.141,0.282,106.811
0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544
4lPJoKw24HizeIcDLqaWeE,Trampled Under Foot - 2012 Remaster,Led Zeppelin,Physical Graffiti (Deluxe Edition),0.561,0.842,2,-7.518,0,0.0566,0.239,0.412,0.0768,0.843,111.209
15pUq5xfLfD7NvTGt6NKGM,Grand Designs,Rush,Clockwork Angels Tour,0.269,0.979,2,-3.974,1,0.0781,0.00225,0.0015,0.979,0.29,141.052
6Th6ND8RQPywiyelecP5Lf,What Do You Do for Money Honey,AC/DC,Back In Black,0.532,0.858,9,-5.023,1,0.0599,0.00533,2.13e-06,0.751,0.495,125.698
1HlGblweLq0eAwnb0NY1EQ,18 and Life,Skid Row,Best Of,0.457,0.794,1,-6.624,0,0.0298,0.000384,7.26e-05,0.131,0.354,90.439
6eN1f9KNmiWEhpE2RhQqB5,Paradise City,Guns N' Roses,Appetite For Destruction,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315
0nRSoJxUMDqgwtHgUjOFnV,Slowly Burning 2019,Cristoph,Slowly Burning 2019,0.636,0.905,4,-5.149,0,0.0453,0.091,0.422,0.105,0.357,124.974
2ZNAmdQfr8yDjoHJOUxFte,Nova,Yotto,Nova,0.622,0.876,3,-8.071,1,0.0409,0.000141,0.902,0.19,0.049,123.956
09c49mXu0SOt4qLc9QNlme,Mysteryland,Calvin Logue,Mysteryland,0.545,0.983,2,-3.646,1,0.0498,0.142,0.923,0.0988,0.552,125.999
523XDGMjH8Gbzc8V6ek5cl,Never Let You Go,SNBRN,Solé,0.752,0.662,5,-6.766,1,0.0361,0.0188,0.0935,0.212,0.371,123.996
089tprIgsyFSOrZpugamLI,Blame,Ekali,Blame,0.624,0.68,9,-7.285,0,0.0421,0.114,6.78e-05,0.0614,0.117,91.998
3BOcWxFUURAomDXRSDFve4,Something Real,Armin van Buuren,Balance,0.575,0.808,1,-4.578,1,0.0439,0.0446,0.0,0.0693,0.232,127.922
3BOcWxFUURAomDXRSDFve4,Something Real,Armin van Buuren,Balance,0.575,0.808,1,-4.578,1,0.0439,0.0446,0.0,0.0693,0.232,127.922
3BOcWxFUURAomDXRSDFve4,Something Real,Armin van Buuren,Balance,0.575,0.808,1,-4.578,1,0.0439,0.0446,0.0,0.0693,0.232,127.922
