danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.257,0.936,2,-6.131,1,0.35700000000000004,0.00243,0.0,0.14,0.376,197.929
0.529,0.923,2,-4.166,1,0.0764,0.00393,0.0,0.333,0.64,143.034
0.54,0.912,3,-4.662,1,0.0855,0.00315,0.0,0.124,0.828,96.958
0.477,0.917,6,-4.692,1,0.0547,0.00295,0.0,0.268,0.71,150.974
0.5529999999999999,0.8370000000000001,6,-5.608,1,0.0452,0.00941,0.0,0.3720000000000001,0.4320000000000001,140.495
0.478,0.963,11,-3.299,1,0.0643,0.00298,0.0,0.165,0.899,164.641
0.6859999999999999,0.84,1,-5.142,1,0.159,0.0601,5.38e-06,0.16399999999999998,0.7040000000000001,105.0
0.5660000000000001,0.8320000000000001,8,-4.644,1,0.0603,0.00505,0.0,0.127,0.86,175.028
0.331,0.976,2,-3.242,1,0.113,9.11e-06,0.000117,0.319,0.426,170.05900000000003
0.534,0.792,5,-4.512,1,0.0677,0.39,0.0,0.191,0.477,145.881
0.202,0.797,6,-5.809,1,0.0729,0.0163,3.83e-06,0.0986,0.246,80.28399999999998
0.39,0.965,0,-3.38,0,0.119,0.0181,0.0,0.583,0.195,168.00599999999997
0.524,0.967,8,-3.322,1,0.0392,0.00028900000000000003,7.41e-06,0.324,0.731,116.273
0.449,0.903,1,-4.949,1,0.0388,2.48e-05,0.0,0.133,0.583,144.52200000000005
0.527,0.8809999999999999,1,-5.081,1,0.04,0.00233,0.0,0.116,0.467,152.334
0.404,0.98,2,-4.038,1,0.107,0.000193,0.0,0.0742,0.433,177.793
0.5429999999999999,0.878,11,-5.994,1,0.0472,0.0485,0.00101,0.125,0.189,144.157
0.597,0.931,11,-4.591,0,0.0984,0.127,0.0,0.0504,0.534,92.003
0.379,0.978,2,-3.144,1,0.093,0.004370000000000001,0.0,0.423,0.482,182.007
0.62,0.872,0,-5.351,1,0.0456,0.0013800000000000002,2.7600000000000007e-05,0.272,0.695,92.525
0.541,0.904,7,-3.0010000000000003,1,0.0435,0.00143,0.0,0.193,0.541,98.122
0.416,0.748,11,-4.83,1,0.0487,7.43e-05,0.0,0.0995,0.792,150.094
0.561,0.94,0,-2.843,1,0.0592,0.00222,0.0,0.125,0.654,116.99
0.422,0.904,0,-4.5310000000000015,1,0.102,0.02,4.49e-06,0.6859999999999999,0.32,163.929
0.449,0.8640000000000001,1,-3.892,1,0.0352,2.04e-05,0.0,0.108,0.713,167.15400000000002
0.435,0.95,8,-3.869,1,0.106,0.0004940000000000001,0.0,0.317,0.457,160.987
0.303,0.907,0,-4.447,1,0.0694,0.00645,2.3e-06,0.108,0.376,196.685
0.522,0.8809999999999999,7,-5.231,1,0.0847,0.00303,0.000147,0.0939,0.369,130.084
0.339,0.979,3,-1.899,1,0.0607,0.0073700000000000015,1.27e-06,0.0643,0.581,192.68
0.416,0.973,11,-3.911,1,0.105,0.000131,0.0,0.316,0.693,119.352
0.441,0.961,9,-4.7780000000000005,1,0.0598,5.23e-05,0.000211,0.0931,0.61,163.14700000000005
0.402,0.8590000000000001,1,-4.41,0,0.0466,0.0394,0.0,0.0745,0.514,95.31
0.322,0.922,4,-3.4760000000000004,1,0.192,0.0235,0.0,0.191,0.524,186.7
0.5529999999999999,0.7170000000000001,7,-5.857,1,0.0318,6.48e-05,0.128,0.0385,0.318,127.947
0.371,0.98,0,-4.092,1,0.0842,7.53e-05,3.5700000000000014e-05,0.672,0.534,131.011
0.438,0.938,6,-5.6110000000000015,0,0.094,0.00842,1.08e-06,0.8059999999999999,0.584,160.21200000000005
0.5660000000000001,0.918,9,-4.45,1,0.0526,0.00178,0.0,0.0922,0.585,137.22
0.5329999999999999,0.802,4,-4.212,1,0.0384,0.001,0.0,0.314,0.293,106.969
0.35200000000000004,0.955,10,-3.571,1,0.0667,0.00109,7.54e-05,0.424,0.423,180.336
0.428,0.934,9,-4.061,1,0.0927,8.31e-05,0.000431,0.108,0.7240000000000001,167.989
0.341,0.946,9,-2.879,1,0.0729,0.005379999999999999,0.0,0.293,0.696,176.771
0.491,0.978,2,-3.654,1,0.0493,9.76e-05,0.0,0.373,0.524,136.007
0.508,0.915,2,-3.317,1,0.0413,0.00775,0.0,0.109,0.772,103.306
0.623,0.853,4,-5.356,1,0.0472,0.141,0.0,0.14300000000000002,0.7829999999999999,106.099
0.546,0.882,11,-4.019,1,0.0394,0.000784,0.0,0.18600000000000005,0.64,139.966
0.35700000000000004,0.959,2,-4.081,0,0.113,6.93e-06,3.91e-05,0.0825,0.364,179.644
0.395,0.917,8,-6.86,1,0.133,0.00143,0.0,0.261,0.563,169.088
0.552,0.932,0,-3.782,1,0.0426,0.000102,0.0,0.119,0.518,103.108
0.416,0.967,9,-2.289,0,0.109,0.000367,0.0,0.0632,0.431,171.032
0.39,0.965,0,-3.38,0,0.119,0.0181,0.0,0.583,0.195,168.00599999999997
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.8009999999999999,0.578,1,-7.148,1,0.201,0.0728,0.0,0.185,0.126,100.032
0.889,0.385,11,-11.767,0,0.165,0.00544,0.0,0.274,0.235,125.995
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.889,0.385,11,-11.767,0,0.165,0.00544,0.0,0.274,0.235,125.995
0.68,0.687,9,-6.162000000000001,0,0.0709,0.0161,0.0,0.261,0.467,150.053
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187
0.769,0.787,11,-3.909,1,0.3670000000000001,0.189,0.0,0.129,0.836,126.77
0.741,0.718,7,-5.823,1,0.415,0.28300000000000003,2.21e-06,0.23,0.5760000000000001,165.84799999999996
0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
0.795,0.56,1,-5.773,1,0.0479,0.184,0.0,0.158,0.459,136.988
0.522,0.833,0,-3.715,1,0.0575,0.0454,0.0,0.127,0.29600000000000004,180.009
0.795,0.56,1,-5.773,1,0.0479,0.184,0.0,0.158,0.459,136.988
0.764,0.6579999999999999,11,-4.047,0,0.0757,0.536,3.8e-06,0.0663,0.682,136.952
0.78,0.768,6,-4.325,0,0.238,0.0371,2.34e-06,0.518,0.507,80.063
0.958,0.705,1,-4.916,1,0.16699999999999998,0.204,2.02e-05,0.115,0.516,124.997
0.889,0.385,11,-11.767,0,0.165,0.00544,0.0,0.274,0.235,125.995
0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024
0.478,0.735,0,-4.7860000000000005,1,0.482,0.598,0.0,0.107,0.625,76.237
0.478,0.735,0,-4.7860000000000005,1,0.482,0.598,0.0,0.107,0.625,76.237
0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
0.871,0.44,11,-6.25,0,0.0761,0.499,4.15e-06,0.114,0.799,137.996
0.759,0.675,9,-5.148,0,0.313,0.228,0.0,0.15,0.328,89.64200000000002
0.759,0.675,9,-5.148,0,0.313,0.228,0.0,0.15,0.328,89.64200000000002
0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329
0.765,0.6709999999999999,9,-5.249,0,0.278,0.344,0.0,0.0506,0.7979999999999999,84.5
0.85,0.569,5,-8.152000000000001,0,0.136,0.0609,0.0816,0.1,0.294,80.02
0.758,0.574,11,-6.8889999999999985,0,0.0572,0.46,0.00272,0.102,0.261,151.985
0.614,0.684,0,-5.79,1,0.157,0.247,0.0,0.0976,0.258,156.85
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511
0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999995
0.792,0.5710000000000001,8,-7.539,0,0.094,0.301,0.0,0.1,0.556,99.999
0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.585,0.597,0,-7.499,1,0.037000000000000005,0.339,0.0404,0.195,0.227,100.051
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928
0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999995
0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928
0.826,0.773,11,-4.218,0,0.0524,0.32299999999999995,0.0,0.14300000000000002,0.7609999999999999,126.899
0.7759999999999999,0.64,7,-8.058,1,0.183,0.15,0.0,0.0983,0.326,160.03799999999995
0.655,0.797,2,-4.787,1,0.153,0.198,0.0,0.067,0.8390000000000001,177.928
0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511
0.7140000000000001,0.828,3,-4.663,1,0.0598,0.00514,0.154,0.32,0.208,124.034
0.624,0.68,9,-7.285,0,0.0421,0.114,6.78e-05,0.0614,0.117,91.998
0.8170000000000001,0.7759999999999999,6,-4.976,1,0.303,0.0453,0.0,0.158,0.718,124.03
0.618,0.74,8,-7.159,0,0.0375,0.343,0.00583,0.436,0.251,127.988
0.645,0.7879999999999999,1,-5.322,1,0.0348,0.00194,0.0252,0.0657,0.249,128.023
0.511,0.928,1,-5.787000000000001,1,0.0648,0.00556,0.0,0.0605,0.195,133.90200000000002
0.6609999999999999,0.758,7,-5.299,1,0.0864,0.0797,0.0,0.106,0.387,114.098
0.563,0.81,2,-2.9210000000000003,1,0.0522,0.005220000000000001,0.0,0.0846,0.495,129.975
0.545,0.974,11,-5.997999999999998,0,0.0359,0.000134,0.826,0.19,0.461,127.999
0.628,0.964,8,-5.9289999999999985,1,0.129,0.0756,0.861,0.442,0.0231,124.996
0.755,0.557,0,-7.985,0,0.0373,0.257,0.0524,0.103,0.21,109.983
0.8859999999999999,0.84,2,-3.386,1,0.0502,0.0164,0.006220000000000001,0.329,0.203,123.035
0.752,0.812,6,-4.41,0,0.183,0.287,2.45e-05,0.0897,0.58,108.05
0.5329999999999999,0.932,8,-6.845,1,0.0368,0.000204,0.883,0.251,0.0554,139.371
0.498,0.962,1,-9.539,1,0.104,5.94e-05,0.883,0.205,0.0675,138.03
0.599,0.893,10,-6.6610000000000005,1,0.0578,0.004529999999999999,0.524,0.26,0.246,127.008
0.478,0.908,7,-9.038,1,0.0662,3.44e-05,0.00945,0.336,0.831,130.023
0.517,0.7929999999999999,6,-5.851,0,0.0367,0.0214,0.00046,0.0892,0.17600000000000002,90.06
0.6629999999999999,0.782,7,-5.619,1,0.0499,0.00292,0.32299999999999995,0.941,0.0906,128.005
0.6,0.99,6,-3.016,1,0.337,0.00116,0.52,0.124,0.192,127.954
0.867,0.477,9,-7.183,0,0.049,0.00843,0.175,0.113,0.614,124.979
0.583,0.8190000000000001,0,-5.7410000000000005,1,0.0287,0.0082,0.0433,0.0863,0.929,135.02200000000002
0.748,0.614,11,-6.004,0,0.407,0.0672,7.809999999999999e-05,0.106,0.57,172.03
0.789,0.8809999999999999,11,-5.757999999999999,1,0.0331,0.108,0.0,0.355,0.647,133.30100000000002
0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431
0.897,0.815,10,-4.227,0,0.212,0.159,0.0,0.0637,0.804,97.6
0.873,0.7190000000000001,1,-5.948,1,0.248,0.03,0.0,0.333,0.858,93.281
0.765,0.88,1,-4.3610000000000015,1,0.116,0.17600000000000002,1e-05,0.139,0.929,168.96
0.889,0.816,9,-4.67,1,0.247,0.472,0.0,0.204,0.777,96.056
0.674,0.563,1,-7.404,0,0.218,0.203,0.0,0.239,0.679,161.986
0.934,0.562,4,-4.609,0,0.24,0.0476,1.31e-06,0.0608,0.7120000000000001,96.792
0.8759999999999999,0.647,11,-3.917,1,0.28,0.16,0.0,0.238,0.961,86.993
0.594,0.383,0,-7.045,0,0.223,0.22,1.73e-05,0.0891,0.463,176.197
0.6829999999999999,0.59,1,-5.422999999999999,1,0.458,0.326,0.0,0.14800000000000002,0.653,100.892
0.401,0.737,5,-7.684,1,0.0342,0.0844,2.63e-06,0.173,0.152,76.727
0.383,0.887,4,-4.734,0,0.0468,0.00562,0.007790000000000002,0.141,0.282,106.811
0.453,0.987,8,-4.485,1,0.0889,0.0195,0.28300000000000003,0.268,0.316,123.544
0.561,0.8420000000000001,2,-7.518,0,0.0566,0.239,0.412,0.0768,0.843,111.209
0.269,0.979,2,-3.974,1,0.0781,0.00225,0.0015,0.979,0.29,141.05200000000005
0.532,0.858,9,-5.023,1,0.0599,0.00533,2.13e-06,0.7509999999999999,0.495,125.698
0.457,0.794,1,-6.624,0,0.0298,0.000384,7.26e-05,0.131,0.354,90.439
0.268,0.98,11,-5.957999999999998,1,0.103,0.0192,0.007090000000000002,0.182,0.395,100.315
0.636,0.905,4,-5.149,0,0.0453,0.091,0.422,0.105,0.35700000000000004,124.974
0.622,0.8759999999999999,3,-8.071,1,0.0409,0.00014099999999999998,0.902,0.19,0.049,123.956
0.545,0.983,2,-3.646,1,0.0498,0.142,0.923,0.0988,0.552,125.999
0.752,0.662,5,-6.766,1,0.0361,0.0188,0.0935,0.212,0.371,123.996
0.624,0.68,9,-7.285,0,0.0421,0.114,6.78e-05,0.0614,0.117,91.998
0.575,0.8079999999999999,1,-4.578,1,0.0439,0.0446,0.0,0.0693,0.232,127.922
0.575,0.8079999999999999,1,-4.578,1,0.0439,0.0446,0.0,0.0693,0.232,127.922
0.575,0.8079999999999999,1,-4.578,1,0.0439,0.0446,0.0,0.0693,0.232,127.922
0.773,0.721,3,-12.574000000000002,1,0.0294,0.232,1.6100000000000002e-05,0.0349,0.971,110.383
0.248,0.985,7,-3.278,1,0.27,7.55e-05,3.09e-06,0.589,0.272,190.635
0.322,0.7609999999999999,2,-4.9910000000000005,1,0.032,0.00298,0.0,0.259,0.36,126.906
0.7140000000000001,0.905,8,-2.6630000000000003,1,0.0289,0.00855,2.55e-05,0.146,0.838,125.927
0.522,0.919,3,-4.839,1,0.0883,0.0426,0.0,0.128,0.825,175.644
0.7090000000000001,0.5710000000000001,10,-13.25,1,0.039,0.247,0.014,0.114,0.779,124.739
0.228,0.135,4,-17.095,0,0.0351,0.911,0.915,0.149,0.104,141.745
0.629,0.949,2,-4.595,1,0.0467,0.0007639999999999999,0.001,0.0803,0.8170000000000001,91.447
0.56,0.914,2,-5.794,1,0.054000000000000006,0.0152,1.6e-06,0.882,0.7490000000000001,97.632
0.438,0.588,8,-7.796,1,0.0293,0.224,0.000471,0.447,0.22,138.475
0.638,0.867,2,-6.4689999999999985,1,0.0331,0.14400000000000002,0.000733,0.0846,0.805,115.692
0.494,0.5710000000000001,2,-5.862,1,0.0332,0.0394,0.000518,0.602,0.7120000000000001,124.045
0.87,0.6990000000000001,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.967
0.8490000000000001,0.521,11,-12.999,0,0.21600000000000005,0.306,1.65e-06,0.115,0.763,95.262
0.758,0.957,7,-2.282,1,0.0357,0.039,0.0,0.133,0.966,111.119
0.261,0.131,3,-22.947,1,0.0439,0.989,0.934,0.135,0.149,80.14699999999998
0.142,0.0194,0,-26.577,1,0.0509,0.925,0.642,0.0807,0.0355,67.598
0.54,0.966,5,-4.71,1,0.09,0.0758,0.0,0.5770000000000001,0.597,143.864
0.456,0.863,3,-3.551,1,0.0894,0.133,0.0545,0.0553,0.532,135.966
0.87,0.6990000000000001,5,-5.541,0,0.0459,0.245,6.76e-06,0.0588,0.726,126.967
0.551,0.722,5,-9.247,0,0.0529,0.5710000000000001,0.000306,0.629,0.821,153.181
0.813,0.547,2,-5.936,1,0.0344,0.00104,0.00335,0.0914,0.8,119.998
0.31,0.376,2,-11.553,1,0.0313,0.28600000000000003,0.485,0.199,0.0718,85.863
0.645,0.792,9,-8.671,1,0.0304,0.00164,0.000126,0.0799,0.705,131.388
0.611,0.71,0,-10.752,1,0.0305,0.0539,4.15e-05,0.0914,0.921,126.839
0.4320000000000001,0.417,2,-9.756,1,0.0357,0.00877,0.923,0.107,0.187,144.02100000000004
0.438,0.73,8,-7.105,1,0.0461,3.39e-05,0.5529999999999999,0.0509,0.705,128.04
0.607,0.923,1,-6.777,1,0.0948,0.0193,1.1e-06,0.0924,0.868,184.819
0.607,0.923,1,-6.777,1,0.0948,0.0193,1.1e-06,0.0924,0.868,184.819
0.135,0.888,2,-4.633,1,0.0494,0.0034100000000000003,0.00759,0.978,0.125,81.98200000000001
0.8140000000000001,0.672,9,-12.068,1,0.0619,0.0435,0.0,0.061,0.933,109.394
0.773,0.721,3,-12.574000000000002,1,0.0294,0.232,1.6100000000000002e-05,0.0349,0.971,110.383
0.412,0.882,11,-5.54,0,0.0369,5.96e-05,0.00031,0.0805,0.35600000000000004,158.066
0.311,0.958,9,-5.71,1,0.102,0.273,0.0,0.984,0.517,153.213
0.54,0.966,5,-4.71,1,0.09,0.0758,0.0,0.5770000000000001,0.597,143.864
0.578,0.969,11,-3.903,1,0.0731,0.0975,0.0,0.441,0.579,99.856
0.418,0.984,2,-3.792,1,0.0751,0.000456,0.0,0.384,0.268,95.206
0.375,0.894,2,-6.3660000000000005,1,0.0974,0.0545,0.0,0.593,0.324,115.366
0.289,0.662,9,-10.482,1,0.0347,0.0102,0.944,0.498,0.254,131.053
0.28800000000000003,0.757,0,-8.065,1,0.0652,0.0117,0.14,0.363,0.311,89.694
0.862,0.624,3,-11.63,1,0.0565,0.0192,0.000153,0.0465,0.882,124.896
0.602,0.485,7,-7.305,1,0.0235,0.112,0.00462,0.138,0.35,94.047
0.611,0.71,0,-10.752,1,0.0305,0.0539,4.15e-05,0.0914,0.921,126.839
0.574,0.274,9,-13.553,1,0.0286,0.0111,0.7859999999999999,0.123,0.111,125.652
0.348,0.161,3,-16.221,1,0.0332,0.965,0.471,0.147,0.324,139.558
0.355,0.29600000000000004,11,-11.967,1,0.0324,0.606,0.477,0.251,0.318,167.56599999999997
0.508,0.648,8,-9.347,1,0.0362,0.0034,0.76,0.108,0.11,95.8
0.605,0.754,5,-6.428,0,0.0262,0.0247,0.213,0.121,0.72,104.981
0.573,0.873,7,-3.383,1,0.0813,0.0117,0.000937,0.103,0.428,137.96
0.3670000000000001,0.461,10,-11.715,1,0.0279,0.0863,0.00759,0.101,0.452,133.877
